"AI-calculated score (0-100) based on engagement.","Score calculé par IA (0-100) basé sur l'engagement."
"Allows new products to appear at the top to gather data before the real behavioral score takes over.","Permet aux nouveaux produits d'apparaître en haut pour accumuler des données avant que le score comportemental réel ne prenne le relais."
"Analysis Lookback Period","Période d'Analyse (Historique)"
"Attractiveness (CTR)","Attractivité (Taux de Clic)"
"Balancing Strategy","Stratégie d'Équilibrage"
"Behavioral Algorithm Tuning","Réglage de l'Algorithme Comportemental"
"Behavioral Global Score","Score Global Comportemental"
"Behavioral Merchandising Configuration","Configuration du Merchandising Comportemental"
"Behavioral Merchandising","Merchandising Comportemental"
"Behavioral Scoring","Score Comportemental (IA)"
"CTR ""Perfect Score"" Threshold (%)","Seuil de CTR ""Score Parfait"" (%)"
"Conversion (Sales Qty)","Conversion (Quantité Vendue)"
"Days a new product gets an artificial boost.","Nombre de jours pendant lesquels un nouveau produit reçoit un boost artificiel."
"Define the relative importance of each metric (0 to 100). Example: Setting Sales to 50 and Clicks to 10 makes Sales 5x more important.","Définissez l'importance relative de chaque métrique (0 à 100). Exemple : Mettre Ventes à 50 et Clics à 10 rend les ventes 5x plus importantes."
"Enable Behavioral Analysis","Activer l'Analyse Comportementale"
"Enable Debug Mode","Activer le Mode Debug"
"Enable Discovery Shuffle","Activer le Mélange (Shuffle)"
"Example: If set to 15%, any product with 15% CTR or higher gets the maximum possible points for the CTR metric. This prevents outliers from crushing other products.","Exemple : Si réglé à 15%, tout produit ayant 15% de CTR ou plus obtient le maximum de points pour la métrique CTR. Cela empêche les valeurs aberrantes d'écraser les autres produits."
"Freshness Boost Factor","Facteur de Boost Nouveauté"
"Freshness Boost Weight","Poids du Boost Nouveauté"
"General Settings","Paramètres Généraux"
"Global Performance Weight (Sales/CTR)","Poids de la Performance Globale (Ventes/CTR)"
"Helps promote high-ticket items even if they sell fewer units.","Aide à promouvoir les articles chers même s'ils se vendent en moins grande quantité."
"Higher intent signal than a click, but lower than a finalized sale.","Signal d'intention plus fort qu'un clic, mais plus faible qu'une vente finalisée."
"How aggressively to randomize the ranking.","Agressivité de l'aléatoire dans le classement."
"Intent (Add to Cart)","Intention (Ajout Panier)"
"Internal decay factor for new product discovery.","Facteur de décroissance interne pour la découverte de nouveaux produits."
"Logs raw calculation steps to system.log. Keep disabled in production.","Journalise les étapes de calcul dans system.log. Laisser désactivé en production."
"Low (1-3): Subtle rotation of middle-pack products. High (8-10): Visible chaos, good for high-traffic discovery catalogs.","Faible (1-3) : Rotation subtile des produits intermédiaires. Élevé (8-10) : Chaos visible, bon pour les catalogues de découverte à fort trafic."
"Measures how often customers click when they see the product.","Mesure la fréquence à laquelle les clients cliquent lorsqu'ils voient le produit."
"Minimum Views for Confidence","Vues Minimum pour Confiance"
"Multiplier for New Products. 1.5 is standard.","Multiplicateur pour les Nouveaux Produits. 1.5 est le standard."
"Multiplier for the main performance score. 2.0 is standard.","Multiplicateur pour le score de performance principal. 2.0 est le standard."
"New Product Boost Period","Durée du Boost Nouveauté"
"Note: The ""catalog_product"" index has been invalidated. Run indexer:reindex if needed.","Note : L'index ""catalog_product"" a été invalidé. Lancez indexer:reindex si nécessaire."
"Number of days of history to use for scoring calculation.","Nombre de jours d'historique à utiliser pour le calcul du score."
"Penalty: Bounce Rate","Pénalité : Taux de Rebond"
"Percentage of CTR considered as ""Max Score"". Default: 15.","Pourcentage de CTR considéré comme le ""Score Max"". Défaut : 15."
"Periodically rotates products with similar scores.","Effectue une rotation périodique des produits ayant des scores similaires."
"Policies to prevent catalog stagnation (""The Rich Get Richer"" effect).","Politiques pour éviter la stagnation du catalogue (effet ""Les riches deviennent plus riches"")."
"Prerequisite: This module relies on Smile_ElasticsuiteTracker. Warning: If the tracker is disabled, Views, Clicks, and Add-to-Cart scores will be 0.","Prérequis : Ce module dépend de Smile_ElasticsuiteTracker. Attention : Si le tracker est désactivé, les scores de Vues, Clics et Ajouts au panier seront à 0."
"Ranking Dynamics & Discovery","Dynamique de Classement & Découverte"
"Score Algorithm Weights","Pondération de l'Algorithme"
"Short periods (30 days) react faster to trends. Long periods (90+ days) smooth out seasonality.","Les périodes courtes (30 jours) réagissent plus vite aux tendances. Les périodes longues (90+ jours) lissent la saisonnalité."
"Shuffle Intensity (1-10)","Intensité du Mélange (1-10)"
"Social Proof (Ratings)","Preuve Sociale (Avis)"
"Starting Behavioral Analysis...","Démarrage de l'Analyse Comportementale..."
"Success: Behavioral scores calculated in %1s.","Succès : Scores comportementaux calculés en %1s."
"Technical: Bayesian Smoothing threshold. Below this number, the score is pulled towards the category average to prevent statistical noise (e.g., 1 click on 1 view = 100% CTR).","Technique : Seuil de lissage Bayésien. En dessous de ce nombre, le score est ramené vers la moyenne de la catégorie pour éviter le bruit statistique (ex: 1 clic sur 1 vue = 100% CTR)."
"Triggers the behavioral score calculation and index invalidation manually.","Déclenche manuellement le calcul du score comportemental et l'invalidation de l'index."
"Value (Revenue)","Valeur (Chiffre d'Affaires)"
"Views required before a product's raw CTR is fully trusted.","Vues requises avant que le CTR brut d'un produit ne soit totalement fiable."
"Weight for Add-to-Cart actions.","Poids pour les ajouts au panier."
"Weight for Click-Through Rate.","Poids pour le Taux de Clic (CTR)."
"Weight for Review Rating (Stars).","Poids pour la note des avis (Étoiles)."
"Weight for total items sold.","Poids pour la quantité totale d'articles vendus."
"Weight for total revenue generated.","Poids pour le chiffre d'affaires total généré."
"[Negative Factor] Reduces score for products with many views but no sales.","[Facteur Négatif] Réduit le score des produits ayant beaucoup de vues mais aucune vente."
